Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0314.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0315.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0316.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0317.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0318.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0319.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0320.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0321.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0322.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0323.AVI,True
